clusterindex,Longitude,Latitude,SOG,COG,MedianDistance
0,-43.12211666733333,-22.785011110666666,10.860000000000001,49.96666666666667,292.2415993561134
0,-43.11319242272727,-22.77847878636363,10.545454545454545,52.56363636363637,310.04064179713527
0,-43.10547444466667,-22.77303111066667,10.626666666666665,50.41333333333333,247.97004514681294
0,-43.099991663750004,-22.7668583325,10.624999999999998,26.4,204.82482288490377
1,-43.15688636318182,-22.811663635454547,9.48181818181818,309.7954545454545,307.28318784098707
1,-43.16698492095238,-22.806946824761912,8.89047619047619,287.952380952381,329.51424847009355
1,-43.175583333076915,-22.80450576923077,3.8500000000000005,281.0384615384616,156.0026071137511
2,-43.149233333333335,-22.8503375,1.4000000000000001,350.29999999999995,9.876177306576544
3,-43.10395000066667,-22.761692222,4.9399999999999995,263.65333333333336,211.54060770722242
4,-43.17294999999999,-22.805482575,8.75909090909091,106.37272727272729,270.80218400238107
4,-43.165788095714284,-22.80745476285714,10.014285714285714,105.9857142857143,129.23327731874048
5,-43.094742424545444,-22.82466742454545,2.3272727272727276,272.95909090909095,68.5232785079374
6,-43.12720738670453,-22.83307178011364,0.7772727272727274,176.76363636363635,137.68376666397324
7,-43.13617592666665,-23.014929629999997,7.177777777777779,8.988888888888889,290.9901904465927
7,-43.135586667999995,-23.006536666000002,6.7,2.42,425.7964186378709
7,-43.13508461461538,-22.995176923076922,6.638461538461538,4.3769230769230765,348.00676580357566
7,-43.13480833,-22.9842,6.65,3.5,303.8777847285729
8,-43.13505555333333,-22.977188890000004,6.8999999999999995,3.6333333333333333,476.10862878054195
8,-43.13593,-22.968706667,6.1000000000000005,4.6899999999999995,97.48099462693231
8,-43.136733335,-22.9573,3.9000000000000004,2.05,35.24582699110313
9,-43.12684227658535,-23.020735365609752,1.217073170731707,33.048780487804876,112.83001521447085
10,-43.15201403526317,-22.83016140315789,7.48421052631579,98.61578947368423,241.45954793526667
10,-43.152306666571484,-22.83824071414286,6.700714285714285,156.19571428571425,323.4014943724498
10,-43.15062673372485,-22.84852142057046,4.844630872483224,107.9187919463087,410.88807479632555
10,-43.15272973564388,-22.859784027537874,6.403409090909074,151.32803030303026,685.9050467392609
10,-43.136454116710276,-22.874842659409804,6.415300546448083,166.65114754098363,1057.571138795541
10,-43.140597537759724,-22.88579646893671,6.0123376623376625,174.35982142857148,1391.7014569933074
10,-43.153270427348325,-22.89101935494026,9.191773897058852,195.01204044117628,1007.6301937908115
10,-43.154612263523916,-22.902079640483233,10.04237519945292,199.93369044905396,1151.815642001643
10,-43.13930860920301,-22.913670977928152,9.2751123825092,193.92419288925151,3302.9426717028223
10,-43.14044017983407,-22.92680414966805,9.193775933609961,261.1016597510371,328.04500232239775
10,-43.139438429299375,-22.938899893821652,7.754140127388534,250.05859872611458,364.16522460013005
10,-43.13741212999999,-22.949341124319524,8.231360946745559,268.8224852071006,792.1607908251189
10,-43.13504616236844,-22.960498136381567,7.015789473684215,277.41513157894747,1466.0769092560568
10,-43.13664641405065,-22.971641772151898,8.172151898734176,283.02784810126593,2116.9288384278807
10,-43.13950582219179,-22.98191130150684,10.047260273972602,303.3417808219177,2380.4973177347424
10,-43.115772708468725,-23.000102239562505,9.1065625,250.25281249999998,4473.017438698431
10,-43.11575907042302,-23.012421891038436,6.148269230769224,255.82288461538482,2086.0174950381615
10,-43.11260638133243,-23.022942636732104,6.396633941093975,216.8259467040674,1692.9954488101396
10,-43.122788127534264,-23.03050525054794,9.554794520547942,226.34383561643824,3127.7991306916597
10,-43.136019791666655,-23.034779166458335,10.63125,200.69166666666663,3484.0984863465087
10,-43.16716667000002,-23.03549999916667,14.441666666666665,182.61666666666667,296.45626144057604
10,-43.16742499950001,-23.045816666500002,14.4,184.02,294.75196261526014
10,-43.16783333,-23.05266667,14.4,184.2,0.0
11,-43.13676282076923,-22.851321794615387,0.6615384615384615,88.73846153846154,6.025261572986559
12,-43.15793783864864,-22.971405854594593,14.8,8.394594594594595,342.8438623318397
12,-43.15468008170732,-22.961921138780482,13.66341463414634,19.882926829268293,228.50717894699133
12,-43.14915043921053,-22.95347719236842,14.549999999999999,32.931578947368415,306.6852262066395
12,-43.1428399424138,-22.94333189672414,14.701724137931038,24.26551724137931,280.3603550569368
12,-43.13942763157893,-22.933999415263155,11.246491228070171,9.446491228070172,244.12044715433225
12,-43.13949027833334,-22.929025000833335,14.308333333333337,1.925,51.75251698069501
