clusterindex,Longitude,Latitude,SOG,COG,MedianDistance
0,-43.14966014391304,-22.85221956521739,3.726086956521739,17.59130434782609,124.36436363627992
1,-43.162042352705896,-22.893443137411776,1.6176470588235297,32.95764705882353,125.17714476489314
2,-43.155660416875,-22.812562499374998,9.481249999999998,313.83124999999995,216.35358646839637
3,-43.16015555333333,-22.809266665,9.483333333333333,299.0333333333333,79.11718707969267
4,-43.149233333333335,-22.8503375,1.4000000000000001,350.29999999999995,9.876177306576544
5,-43.16366458499999,-22.8079145825,9.375,287.9125,122.85767989337504
6,-43.167280553333335,-22.80685833166667,9.450000000000001,287.1,71.837107674578
7,-43.14899301161291,-22.850801075483872,0.6580645161290325,145.87419354838707,23.232959018894732
8,-43.17451060606061,-22.80480505060605,4.699999999999998,282.66969696969693,260.379643633988
9,-43.159393334,-22.856843332,5.0200000000000005,62.94,46.708293974882864
10,-43.15653888833333,-22.85216805583333,7.925,20.675,146.0232546512215
11,-43.08137619,-23.022696429285713,10.264285714285716,298.5642857142857,106.16336429518095
12,-43.099938235294125,-22.930306862941183,2.4058823529411764,19.017647058823528,40.34378671478057
13,-43.155027776666664,-22.84632777666667,8.216666666666667,11.983333333333334,68.47459963346647
14,-43.10568750125,-22.761999999999997,3.225,263.67499999999995,83.62077842155249
15,-43.15395833333333,-22.841325,8.316666666666666,12.266666666666667,63.74448416237717
16,-43.09408571428571,-22.82464523857143,1.2285714285714289,347.85714285714283,19.406364220867328
17,-43.17661666666666,-22.804372223333335,6.166666666666667,103.43333333333332,60.92150262348643
18,-43.152430554999995,-22.831572221666665,8.383333333333333,7.816666666666666,62.85387486460602
19,-43.172987500000005,-22.805516665,9.558333333333334,108.52499999999999,173.95767651327967
20,-43.09511785785714,-22.824701190714286,2.978571428571428,242.48571428571427,97.13033018930237
21,-43.10670097999999,-22.998775490000003,10.488235294117649,332.06470588235294,149.8434634624942
22,-43.117242857142855,-22.820792855714284,0.9714285714285713,193.0,12.46825727672184
23,-43.14621944666666,-22.879383333333333,0.9500000000000001,182.48333333333335,17.362599097646704
24,-43.12684333400001,-22.833073333333335,0.6933333333333332,7.973333333333334,14.283206363126334
25,-43.10801666666667,-22.925269047142855,1.333333333333334,233.0761904761905,49.87958142001861
26,-43.106888461153844,-23.025987819615388,1.3499999999999999,36.03846153846154,61.774116696407496
27,-43.180365237809525,-22.8891896827619,6.6542857142857095,88.65428571428573,226.4021270014309
27,-43.17282745117646,-22.889072058676472,7.820588235294114,83.0970588235294,181.8150068077419
28,-43.093496666,-23.046590000000002,9.84,349.9,104.10564950834181
29,-43.09432222266666,-23.04068222133333,10.046666666666665,351.64666666666665,209.5713673074447
30,-43.09609074055555,-23.03017222166667,10.088888888888889,349.83888888888885,239.90147717544897
31,-43.11085560710281,-23.02573800616823,2.028037383177569,256.68224299065423,131.54982534038004
31,-43.12336757618181,-23.02250909054546,2.585454545454547,272.56363636363636,259.1874052873238
31,-43.12722916625,-23.022550000000003,0.6624999999999999,284.625,7.48063902149716
32,-43.10162499999999,-22.92075694416667,0.725,341.73333333333335,32.67971952940532
33,-43.12775303054544,-22.833690605818187,0.8418181818181819,234.2654545454546,118.84643295130151
34,-43.09785175368421,-23.022372807894737,10.03157894736842,342.77894736842103,165.51339564796655
35,-43.09921111071429,-23.01758650738096,5.9452380952380945,291.347619047619,237.21857622637629
35,-43.10456500000001,-23.017403888666664,1.9666666666666666,245.62666666666667,59.551042054162096
36,-43.141916667222205,-22.91762037111111,11.611111111111112,166.85000000000002,101.08421434623561
37,-43.10098000000001,-23.014643332,9.639999999999999,337.6,100.5115198536881
38,-43.157409525,-22.90163928642857,0.7142857142857143,355.2642857142856,24.76770502914826
39,-43.10504791625,-23.0026145825,10.3,336.3375,121.2353236373047
40,-43.10037500166666,-22.922263886666666,0.8999999999999999,320.00000000000006,12.973111449101003
41,-43.14150333400001,-22.890613334,10.34,284.68,100.26909525517746
42,-43.140783333571434,-22.926145952571435,8.698571428571432,166.77285714285713,285.64505888176427
42,-43.14019304194175,-22.934288349708744,8.096116504854376,186.6796116504855,280.81733125902605
42,-43.143344445,-22.940811111666665,7.4333333333333345,205.35000000000002,57.375984072055374
43,-43.109479047714295,-22.990550952857145,9.8,333.95714285714286,237.666877052547
43,-43.112049999999996,-22.985883334999997,9.850000000000001,331.7,54.42317811368207
44,-43.14389506148149,-22.944265432222227,9.025925925925925,203.87407407407412,208.38609803400504
45,-43.13529722166666,-22.99809722166667,6.599999999999999,4.233333333333333,85.17392489327285
46,-43.11223,-22.984013332,9.72,335.71999999999997,103.02091147418069
47,-43.147889999749985,-22.95026208324999,7.7425,204.95499999999998,255.1114396612268
47,-43.1520992906383,-22.958426241489363,7.706382978723404,209.41063829787228,262.06614859186806
47,-43.15626140421053,-22.965226315789472,7.310526315789474,208.20526315789473,127.85503026215243
48,-43.113910002,-22.979809998,9.66,335.21999999999997,93.38075098710733
49,-43.016511666,-23.031554999,8.2,278.6,105.56828445989935
50,-43.15820606,-22.87572121090909,9.072727272727274,188.36363636363637,142.8276175508597
51,-43.11889902058823,-22.967270587058824,7.605882352941177,339.0235294117647,211.69637433209593
52,-43.02222619142857,-23.03091904857143,7.871428571428571,278.18571428571425,81.6708252956779
53,-43.15873055666666,-22.87973333333333,9.216666666666667,186.8166666666667,74.7796718380116
54,-43.13514285714286,-22.97643809571429,6.8428571428571425,357.61428571428576,70.94150186591264
55,-43.12228444533333,-22.960692223,5.933333333333333,326.59666666666664,125.35027544651601
56,-43.160757246521726,-22.973545289782614,7.928260869565216,207.24130434782606,260.2871875364832
56,-43.16132381,-22.982470635238098,6.585714285714284,150.2507936507936,380.79248246340944
57,-43.13595,-22.969143749999997,6.1000000000000005,4.8,52.60266726750688
58,-43.03569722166667,-23.028936111666667,7.800000000000001,277.6333333333334,61.80168585110248
59,-43.12622618857143,-22.95594761857143,9.242857142857144,319.92857142857144,90.07765975995908
60,-43.040291666250006,-23.02856250125,7.6625000000000005,275.6875,96.93057295443903
61,-43.1359,-22.965233333999997,6.3,354.41999999999996,82.16555239711403
62,-43.043300001666665,-23.0281,7.6000000000000005,279.03333333333336,61.07499881476528
63,-43.136552563846166,-22.95889487192307,5.092307692307693,353.7307692307692,243.1426973740397
64,-43.13054090909091,-22.95119090909091,9.509090909090908,322.7454545454545,72.81788643590966
65,-43.13670049791046,-22.94540323358209,8.502985074626869,336.9776119402985,286.0022769470104
65,-43.13887777848485,-22.939384343939395,9.01515151515152,352.2121212121212,124.65196815555862
66,-43.1655,-22.989783334000002,10.930000000000001,178.32999999999998,68.5551497315606
67,-43.1655,-22.997416668333333,11.866666666666667,180.08333333333334,83.37806007789119
68,-43.14723958249999,-23.034645833749998,0.7875,48.6375,32.17556262754751
69,-43.16557575909091,-23.00171212,11.981818181818182,182.33636363636361,98.00307742849586
70,-43.13718333285714,-22.953661904285717,7.457142857142857,351.64285714285717,81.35475079453771
71,-43.16566667,-23.004033332,12.120000000000001,182.28000000000003,77.8199180138582
72,-43.10010333300001,-22.926603332000003,1.24,29.860000000000003,17.026900039879685
73,-43.14749956131578,-22.878842981578945,2.1026315789473684,334.971052631579,149.09739550897112
74,-43.166180555277805,-23.018268518055553,13.494444444444447,185.04722222222227,289.8394212021623
74,-43.16666667,-23.02333333,13.9,185.1,0.0
75,-43.14515740666667,-22.943885185555555,7.166666666666667,206.75555555555556,107.78340821909296
76,-43.12684227658535,-23.020735365609752,1.217073170731707,33.048780487804876,112.83001521447085
77,-43.07650151454545,-23.023601516363637,8.49090909090909,278.94545454545454,134.4351979094173
78,-43.16697916625,-23.028458331249997,14.2375,185.15,69.51469779316835
79,-43.16715000300002,-23.033349999000002,14.430000000000001,183.19000000000003,257.5522620692281
80,-43.16716667,-23.0392,14.439999999999998,182.02,88.93679505354534
81,-43.167333331538465,-23.04403846153846,14.384615384615387,183.89999999999998,181.00955281100394
82,-43.089498148888886,-23.020488887777777,8.344444444444443,286.05555555555554,119.37977214535843
83,-43.13839722166667,-22.937633333333334,6.016666666666666,164.98333333333332,48.211061580681886
84,-43.12707358892308,-23.01869333307693,3.0261538461538455,289.53846153846155,116.38873238703648
85,-43.13687222285713,-22.943265079523812,5.2666666666666675,166.69523809523812,230.96370852310233
86,-43.13267419322582,-23.01157822629033,5.579032258064516,311.258064516129,174.16162684116557
86,-43.140273856078444,-23.008336602156863,7.1117647058823525,298.3137254901961,257.88099306695324
86,-43.14513333,-23.00368333,9.6,315.0,0.0
87,-43.13459999999999,-22.950743334000002,4.94,156.62,56.106489330739244
88,-43.153949997999995,-22.885333333999995,10.7,349.5400000000001,105.15466430623954
89,-43.154113331999994,-22.883886666000002,10.720000000000002,354.65999999999997,102.42266366594228
90,-43.12558452428571,-22.830504761428575,0.6642857142857143,116.04285714285716,8.580768415731912
91,-43.103575640576906,-23.019394871538466,2.5634615384615387,166.37211538461546,187.55962626201912
92,-43.15491111333333,-22.87185277833333,10.6,356.31666666666666,76.273562643565
93,-43.15505,-22.868603336000003,10.680000000000001,358.05999999999995,107.10841010073541
94,-43.150792222,-22.988594444666667,7.073333333333333,123.96000000000001,150.10003634608225
95,-43.15522333199999,-22.864113332000002,10.620000000000001,357.75999999999993,107.09947279938477
96,-43.14698846230769,-23.00185769307692,10.36923076923077,318.3076923076923,91.24645233694882
97,-43.155316667142856,-22.86158095142857,10.914285714285713,2.7285714285714286,119.15340159976783
98,-43.146444827586215,-22.991985632068964,6.5344827586206895,145.28620689655173,106.55245033046187
99,-43.155363334,-22.856756668,10.36,355.5,103.34343154020871
100,-43.15371627930234,-22.850964341395347,7.406976744186046,22.56046511627907,336.0039112827732
100,-43.14949875904255,-22.845204609893628,1.6648936170212743,33.31382978723404,63.30284534499124
101,-43.15407,-22.889153334,10.2,53.61999999999999,101.36756776911741
102,-43.155049999999996,-22.989837778,14.526666666666667,331.8666666666667,149.5404781539375
103,-43.157393334,-22.984976666,15.26,338.8,91.06319940658778
104,-43.15895784294118,-22.979396078235297,15.914705882352942,349.79411764705884,161.1905393933087
105,-43.15909697,-22.975528786363633,16.07272727272727,4.181818181818182,59.14547635920439
106,-43.11124362735295,-23.016647550294124,3.7735294117647054,297.3500000000001,265.2083345934544
106,-43.1194291675,-23.013343333500003,5.030000000000002,293.42499999999995,230.03528224171262
107,-43.157669048571435,-22.968433332857142,16.42142857142857,14.071428571428571,57.41440294588586
108,-43.154260606363636,-22.961154545909086,13.747727272727275,21.504545454545454,248.19408541119577
108,-43.14843693783784,-22.95244414351352,14.583783783783781,32.87027027027027,294.34884599586235
108,-43.14257203389831,-22.9425788140678,14.954237288135598,23.693220338983053,258.75369132441347
108,-43.13933445369749,-22.933192577058822,11.346218487394957,8.223529411764703,251.00727572565617
109,-43.140755555,-22.88137083416667,5.2250000000000005,168.19166666666666,91.53474967989354
110,-43.15614166583333,-22.99802222166667,6.0,280.575,42.672234181610555
111,-43.14094285714285,-22.881459525714288,6.085714285714286,345.37142857142857,69.86748824646926
112,-43.15772833328569,-23.00059214314286,4.45857142857143,165.11857142857153,208.27422397027019
113,-43.13676282076923,-22.851321794615387,0.6615384615384615,88.73846153846154,6.025261572986559
114,-43.14807878909091,-23.00623030272727,7.5,120.43636363636365,118.5936151614456
115,-43.12452291875,-23.010985416249998,5.4,298.6125,84.06696786254255
116,-43.144389997999994,-23.00828,8.059999999999999,120.19999999999997,81.63909085141917
117,-43.13236060636364,-23.007050000909093,7.454545454545456,299.48181818181814,123.0589749381787
118,-43.13729090727273,-23.012065152727274,8.909090909090908,119.74545454545455,138.83805223849032
119,-43.132936668,-23.014356666,9.239999999999998,123.84,90.31529650867441
120,-43.130460002,-23.015623331999997,9.48,114.3,93.89422468736893
121,-43.128006668,-23.016916666000004,9.3,122.2,93.48125887667989
122,-43.103677160740745,-23.0140333337037,2.7222222222222223,156.9851851851852,150.82018878227052
123,-43.123786666,-23.01909,9.6,122.91999999999999,97.06521544083992
124,-43.146466668333325,-22.997497221666666,9.299999999999999,320.2166666666667,77.07494808817694
