clusterindex,Longitude,Latitude,SOG,COG
0,-43.1504,-22.85393333,4.4,22.5
0,-43.1503,-22.85375,4.3,22.8
0,-43.1502,-22.85353333,4.3,22.8
0,-43.15015,-22.8534,4.3,23.7
0,-43.15003333,-22.8532,4.3,23.2
0,-43.14995,-22.85303333,4.2,22.9
0,-43.14986667,-22.85283333,4.2,22.6
0,-43.14976667,-22.8527,4.2,22.1
0,-43.1497,-22.8525,4.1,21.7
0,-43.14965,-22.85236667,4.0,21.7
0,-43.14958333,-22.85216667,3.9,20.9
0,-43.1495,-22.852,3.8,20.1
0,-43.14943333,-22.85181667,3.7,19.5
0,-43.14938333,-22.85166667,3.6,18.5
0,-43.14933333,-22.8515,3.5,17.2
0,-43.14928333,-22.85136667,3.5,16.3
1,-43.16106667,-22.85926667,0.6,85.5
1,-43.16085,-22.85928333,0.9,85.6
1,-43.16083333,-22.85928333,1.0,84.3
1,-43.16081667,-22.85928333,1.0,83.6
1,-43.1608,-22.85928333,1.1,81.3
1,-43.16078333,-22.85928333,1.1,81.4
1,-43.16075,-22.85928333,1.2,81.3
1,-43.16071667,-22.85928333,1.3,82.4
1,-43.1607,-22.85928333,1.3,82.8
1,-43.16068333,-22.85928333,1.4,83.3
1,-43.16065,-22.85928333,1.5,84.0
1,-43.16061667,-22.85928333,1.5,86.2
1,-43.1606,-22.85928333,1.6,87.7
1,-43.16056667,-22.85926667,1.6,87.8
1,-43.16105,-22.85926667,0.6,92.3
1,-43.16105,-22.85926667,0.6,93.6
1,-43.16088333,-22.85928333,0.8,93.4
1,-43.16086667,-22.85928333,0.8,91.0
1,-43.16053333,-22.85926667,1.7,90.5
1,-43.16048333,-22.85926667,1.8,90.9
1,-43.16046667,-22.85928333,1.8,92.8
1,-43.16041667,-22.85928333,1.9,92.8
1,-43.16038333,-22.85928333,1.9,94.5
1,-43.16036667,-22.85928333,2.0,96.1
1,-43.1609,-22.85928333,0.7,98.3
1,-43.16106667,-22.85926667,0.6,79.0
1,-43.16103333,-22.85928333,0.6,99.4
1,-43.1609,-22.85928333,0.6,100.6
1,-43.16031667,-22.8593,2.1,100.1
1,-43.16028333,-22.8593,2.1,101.0
2,-43.16103333,-22.85928333,0.7,104.5
2,-43.16101667,-22.85928333,0.6,106.6
2,-43.16101667,-22.85928333,0.6,109.0
2,-43.161,-22.8593,0.6,109.2
2,-43.16095,-22.8593,0.6,108.2
2,-43.16093333,-22.85928333,0.6,106.5
2,-43.16093333,-22.85928333,0.6,105.9
2,-43.1609,-22.85928333,0.6,100.6
2,-43.16031667,-22.8593,2.1,100.1
2,-43.16028333,-22.8593,2.1,101.0
