clusterindex,Longitude,Latitude,SOG,COG,MedianDistance
0,-43.15241005317454,-22.836933862380942,6.928571428571431,185.74920634920633,292.14052780543665
0,-43.15408333283339,-22.84738888866667,7.5683333333333325,187.8333333333333,305.6274872074934
0,-43.15468000280004,-22.857976666600003,7.756000000000007,179.11599999999999,280.5248067348261
0,-43.15452862391309,-22.867959420217392,7.76739130434783,179.74782608695656,292.28731689567525
0,-43.150749425172435,-22.877528927356334,5.489655172413797,132.6494252873563,480.80436281276775
0,-43.154296873125,-22.88648958343751,8.665624999999997,177.1875,165.6405617777568
1,-43.14743863681818,-22.877949999545454,2.9454545454545458,326.2681818181818,135.69602200055706
2,-43.09408571428571,-22.82464523857143,1.2285714285714289,347.85714285714283,19.406364220867328
3,-43.09504888933334,-22.824677778000005,2.8400000000000003,238.00666666666666,92.70955893769782
4,-43.117242857142855,-22.820792855714284,0.9714285714285713,193.0,12.46825727672184
4,-43.12777202410713,-22.833703273571434,0.8375000000000001,232.4303571428572,116.69163108200856
5,-43.12684333400001,-22.833073333333335,0.6933333333333332,7.973333333333334,14.283206363126334
6,-43.147175,-23.03469523857143,0.75,122.65714285714284,22.909321173210486
0,-43.152916665,-22.83883333,6.9,184.65,783.843977903209
0,-43.15466667,-22.85466667,7.7,178.9,0.0
0,-43.14967619,-22.879745238571427,4.942857142857143,104.08571428571429,446.31961101124523
0,-43.152166667500005,-22.8338333325,6.575,182.325,222.99707851900038
0,-43.15422222333333,-22.849166666666665,7.6000000000000005,185.5,594.6576500401663
0,-43.15020714142856,-22.87930714285714,5.357142857142856,121.02857142857142,400.13347691177836
0,-43.15239351874996,-22.836789351666667,6.918055555555558,185.6013888888889,284.1978910698292
0,-43.154054725970205,-22.84721890522388,7.565671641791046,187.90447761194022,312.52424730425474
0,-43.154684526428625,-22.85789285714286,7.751785714285722,179.10178571428568,289.84443458892486
0,-43.154526334000046,-22.8680393334,7.772000000000003,179.76600000000002,282.6659854667617
0,-43.150874444333354,-22.877513148333346,5.585555555555558,134.2211111111111,476.08797981580227
0,-43.154298243684224,-22.886478070263173,8.671052631578947,177.31578947368422,150.7084196762986
1,-43.14743863681818,-22.877949999545454,2.9454545454545458,326.2681818181818,135.69602200055706
2,-43.09408571428571,-22.82464523857143,1.2285714285714289,347.85714285714283,19.406364220867328
3,-43.09504888933334,-22.824677778000005,2.8400000000000003,238.00666666666666,92.70955893769782
4,-43.117242857142855,-22.820792855714284,0.9714285714285713,193.0,12.46825727672184
4,-43.12777202410713,-22.833703273571434,0.8375000000000001,232.4303571428572,116.69163108200856
5,-43.12684333400001,-22.833073333333335,0.6933333333333332,7.973333333333334,14.283206363126334
6,-43.147175,-23.03469523857143,0.75,122.65714285714284,22.909321173210486
