clusterindex,Longitude,Latitude,SOG,COG,MedianDistance
0,-43.12211666733333,-22.785011110666666,10.860000000000001,49.96666666666667,292.2415993561134
0,-43.11319242272727,-22.77847878636363,10.545454545454545,52.56363636363637,310.04064179713527
0,-43.10547444466667,-22.77303111066667,10.626666666666665,50.41333333333333,247.97004514681294
0,-43.099991663750004,-22.7668583325,10.624999999999998,26.4,204.82482288490377
1,-43.00037963222222,-23.042394443333333,9.5,93.52222222222221,316.017192563598
1,-42.99029487153845,-23.043079487692303,9.669230769230769,94.43846153846152,274.0545506584572
1,-42.97797727363636,-23.044060606363637,9.563636363636364,95.86363636363636,354.73998205399243
1,-42.96728240777777,-23.045030556666664,9.5,96.4,271.3885340535076
1,-42.95882179461538,-23.045849999999998,9.369230769230768,94.56153846153846,215.65253830055866
1,-42.94821875,-23.046820832499996,9.537500000000001,95.46249999999999,213.15660539219706
1,-42.936708335000006,-23.04790833,9.5,93.9,46.96863881153595
2,-43.15688636318182,-22.811663635454547,9.48181818181818,309.7954545454545,307.28318784098707
2,-43.16698492095238,-22.806946824761912,8.89047619047619,287.952380952381,329.51424847009355
2,-43.175583333076915,-22.80450576923077,3.8500000000000005,281.0384615384616,156.0026071137511
3,-43.03241083350001,-23.118361666999995,3.84,21.405000000000005,149.96893066768672
3,-43.02926111076924,-23.109263675641028,3.599999999999999,30.384615384615383,251.50328190885907
3,-43.026864999,-23.102821666000004,4.94,15.969999999999999,181.9494447840794
4,-42.982351664999996,-23.133071667,7.58,38.6,324.6984365462914
4,-42.97584762,-23.125902381428574,7.671428571428572,40.0,458.02267457567865
4,-42.968133335,-23.117427778333337,7.699999999999999,39.666666666666664,420.98739407686304
4,-42.95877500062499,-23.107253125625,7.774999999999999,40.125,353.73564048569466
4,-42.948879486923076,-23.096412819230768,7.1461538461538465,34.53846153846154,217.70493257457065
5,-43.01964062375,-23.129560416875,8.612499999999999,143.175,252.62545865679357
5,-43.01445303,-23.13701818090909,8.209090909090907,149.20909090909092,375.66999997231017
5,-43.00839666699999,-23.146391668,8.51,149.32999999999998,226.19171728374135
5,-43.004133332500004,-23.1529791675,8.075,148.425,147.00430691765186
6,-43.147175,-23.03469523857143,0.75,122.65714285714284,22.909321173210486
7,-43.03123636272728,-23.114780302727272,3.0454545454545454,343.43636363636364,432.50025886627753
