clusterindex,Longitude,Latitude,SOG,COG
0,-43.18043333,-22.89021667,7.6,74.7
0,-43.18031667,-22.89018333,7.6,74.7
0,-43.18178333,-22.88788333,6.4,117.1
0,-43.18016667,-22.89015,7.7,74.9
0,-43.18,-22.8901,7.7,75.2
0,-43.17988333,-22.89006667,7.7,75.1
0,-43.1798,-22.89005,7.7,74.6
0,-43.18153333,-22.88801667,6.4,119.5
0,-43.17966667,-22.89001667,7.7,74.6
0,-43.17958333,-22.89,7.7,73.9
0,-43.17951667,-22.88998333,7.7,73.1
0,-43.1794,-22.88995,7.7,73.6
0,-43.18123333,-22.88818333,6.5,120.8
0,-43.1793,-22.88993333,7.8,73.3
0,-43.17903333,-22.88985,7.8,72.3
0,-43.18093333,-22.88833333,6.5,119.5
0,-43.17893333,-22.88981667,7.8,71.8
0,-43.17885,-22.8898,7.8,71.8
0,-43.17873333,-22.88975,7.9,70.5
0,-43.18065,-22.88845,6.5,116.5
0,-43.17866667,-22.88971667,7.9,71.1
0,-43.17855,-22.88968333,7.9,71.7
0,-43.17851667,-22.88966667,7.8,71.2
0,-43.17831667,-22.88961667,7.9,71.2
0,-43.17828333,-22.8896,7.9,71.4
0,-43.18035,-22.88861667,6.4,117.9
0,-43.17818333,-22.88956667,7.9,71.1
0,-43.17803333,-22.88951667,7.9,71.4
0,-43.1801,-22.88873333,6.4,120.1
0,-43.17791667,-22.88948333,7.8,71.0
0,-43.17776667,-22.88945,7.9,73.1
0,-43.17768333,-22.88941667,7.9,73.3
0,-43.1776,-22.8894,7.9,73.5
0,-43.17981667,-22.88888333,6.5,120.1
0,-43.17748333,-22.88936667,7.8,74.0
0,-43.1774,-22.88935,7.9,74.7
0,-43.17953333,-22.88905,5.8,118.5
0,-43.17703333,-22.88926667,7.8,77.5
0,-43.17931667,-22.88918333,5.3,123.6
0,-43.17653333,-22.88916667,7.8,80.0
0,-43.17913333,-22.88931667,5.2,127.1
0,-43.1763,-22.88913333,7.9,80.0
0,-43.17626667,-22.88911667,7.9,80.3
0,-43.17601667,-22.88908333,7.9,79.5
0,-43.17598333,-22.88908333,8.0,79.4
0,-43.17891667,-22.88948333,4.9,129.1
0,-43.17586667,-22.88905,7.9,79.5
0,-43.17875,-22.8896,4.9,130.2
0,-43.1755,-22.889,7.9,79.4
0,-43.17543333,-22.88898333,7.9,79.2
0,-43.17535,-22.88896667,7.9,79.3
0,-43.17858333,-22.88976667,4.9,135.0
0,-43.17505,-22.88893333,7.9,81.2
0,-43.175,-22.88891667,7.9,81.1
0,-43.17836667,-22.88995,5.1,136.0
0,-43.17456667,-22.88885,7.9,81.5
0,-43.17813333,-22.89013333,6.0,130.7
0,-43.17425,-22.88881667,7.8,82.1
0,-43.1742,-22.8888,7.8,82.2
0,-43.17413333,-22.8888,7.8,82.0
0,-43.17788333,-22.89028333,6.7,124.8
0,-43.17385,-22.88878333,7.7,85.2
0,-43.17753333,-22.89045,6.9,115.6
0,-43.17725,-22.89053333,7.1,107.6
0,-43.1769,-22.8906,7.3,101.2
0,-43.17646667,-22.89061667,7.7,93.1
0,-43.17615,-22.8906,7.8,87.5
0,-43.17571667,-22.89055,7.9,83.3
0,-43.17528333,-22.89048333,7.9,81.8
0,-43.17493333,-22.89043333,7.9,81.5
0,-43.17455,-22.89038333,7.6,81.4
0,-43.1742,-22.89033333,6.2,83.2
0,-43.174,-22.8903,5.5,81.3
0,-43.17373333,-22.89025,4.8,71.5
0,-43.18256667,-22.88896667,1.2,77.0
0,-43.18251667,-22.88895,0.6,64.2
0,-43.19345,-22.89141667,2.5,5.7
0,-43.19345,-22.8914,2.0,3.4
0,-43.18556667,-22.88811667,0.9,160.5
0,-43.18556667,-22.88813333,0.6,158.7
0,-43.19171667,-22.89126667,5.2,231.5
0,-43.19176667,-22.89131667,5.0,229.3
0,-43.19183333,-22.89136667,4.9,227.6
0,-43.19191667,-22.89145,4.9,227.2
0,-43.19195,-22.89148333,4.8,226.5
0,-43.19201667,-22.89153333,4.6,227.9
0,-43.19206667,-22.89158333,4.5,227.5
0,-43.19211667,-22.89163333,4.3,230.4
0,-43.1737,-22.88878333,7.7,86.1
0,-43.1736,-22.88878333,7.7,85.6
0,-43.17351667,-22.88878333,7.7,85.7
0,-43.17348333,-22.88878333,7.7,85.7
0,-43.17313333,-22.88876667,7.7,86.4
0,-43.17306667,-22.88876667,7.7,86.4
0,-43.17303333,-22.88876667,7.7,86.6
0,-43.17268333,-22.88875,7.7,85.6
0,-43.1726,-22.88875,7.6,84.8
0,-43.17236667,-22.88871667,7.7,83.9
0,-43.17153333,-22.88861667,8.1,85.1
