MMSI,Time,SOG,Longitude,Latitude,COG
46,20190226_160300,11,-42.969,-23.041,89
26,20190226_164100,9.10,-43.155,-22.871,4
6,20190226_165800,4.20,-43.161,-22.858,204
46,20190226_170700,12.30,-43.171,-22.902,82.30
3,20190226_173200,20.50,-43.099,-22.931,157.80
5,20190226_183300,8.40,-43.144,-22.865,334
3,20190226_190500,5.40,-43.143,-22.853,301
6,20190226_200000,1.30,-43.162,-22.853,4
3,20190226_200800,7.20,-43.116,-22.82,45
26,20190226_221200,10.20,-43.149,-22.884,54
46,20190226_223300,9.50,-43.132,-22.842,0
3,20190227_003200,7.20,-43.118,-22.821,45
3,20190227_070100,13.40,-43.13,-22.846,344
46,20190227_151100,6.70,-43.122,-22.878,83.60
6,20190227_151500,3.90,-43.142,-22.851,260
46,20190227_160900,3.80,-43.168,-22.902,93
6,20190227_163000,12,-43.162,-22.862,147
26,20190227_180600,9.30,-43.126,-22.894,221.40
6,20190227_190500,11.80,-43.14,-23.037,39
3,20190227_200100,9.20,-43.135,-22.849,5
5,20190227_200600,13.60,-43.141,-23.029,197
6,20190227_210100,1.30,-43.162,-22.852,4
6,20190227_210400,10.20,-43.118,-23.002,239
6,20190227_213300,5.20,-43.185,-22.888,92.30
3,20190227_220000,7.80,-43.138,-22.811,327
6,20190228_122800,5.20,-43.186,-22.889,92.30
26,20190228_143900,1.50,-43.159,-22.851,215.60
26,20190228_164000,7.50,-43.188,-22.888,110
6,20190228_180000,16.70,-43.178,-22.857,354
3,20190228_203200,9.20,-43.134,-22.847,5
3,20190228_210800,6.60,-43.147,-22.905,349
6,20190228_212900,3.90,-43.142,-22.851,260
46,20190228_212900,4,-43.116,-22.823,18.50
3,20190228_213000,10.80,-43.139,-22.839,225
6,20190228_213200,11.80,-43.141,-23.036,39
5,20190228_213300,13.30,-43.148,-23.038,96
5,20190228_215700,13.60,-43.141,-23.029,197
6,20190228_215800,2.90,-43.114,-22.986,160
3,20190228_220000,7.80,-43.116,-22.864,327
3,20190301_153800,1.30,-43.161,-22.854,108
3,20190301_160000,6,-43.162,-22.823,358
0,20190301_163200,7.80,-43.17,-23.06,312
46,20190301_170900,12.40,-43.133,-22.894,250.90
3,20190301_172700,5.50,-43.101,-22.929,153.20
5,20190301_210300,13.60,-43.141,-23.029,197
6,20190301_210300,16.50,-43.148,-23.03,203
6,20190301_210500,8.20,-43.126,-22.873,285
5,20190301_210600,2.50,-43.172,-22.902,45
6,20190301_213400,1,-43.121,-22.878,98.30
6,20190302_113600,1,-43.121,-22.878,98.30
6,20190302_130800,3.90,-43.185,-22.891,260
6,20190302_130800,10.80,-43.183,-22.895,76
6,20190302_163100,5.80,-43.163,-22.856,1
3,20190302_200500,2.60,-43.123,-22.826,149.90
26,20190302_200700,6.60,-43.102,-23.042,165
3,20190302_213600,2.50,-43.144,-22.838,149
3,20190302_223000,2.10,-43.125,-22.873,250
3,20190303_070600,2.50,-43.144,-22.839,149
3,20190303_111000,2.60,-43.162,-22.81,149.90
6,20190303_133400,5.80,-43.163,-22.855,1
26,20190303_133700,1,-43.14,-22.849,141
5,20190303_143100,13.60,-43.142,-23.029,197
5,20190303_153200,9.70,-43.149,-23.035,297
6,20190303_203600,8.90,-43.143,-23.025,160
3,20190303_203800,6.60,-43.1,-22.974,349
6,20190303_203800,15.20,-43.151,-23.026,236
46,20190303_220100,6.30,-43.116,-22.996,71
6,20190304_070400,8.20,-43.169,-22.902,74.50
3,20190304_073000,8.20,-43.155,-22.849,181
5,20190304_160500,8.20,-43.162,-22.895,179.60
3,20190304_175900,8,-43.125,-22.835,38
6,20190304_210000,20.60,-43.07,-23.058,217
6,20190304_213300,15.20,-43.146,-22.983,200
3,20190304_220200,6.60,-43.132,-22.844,349
3,20190304_220600,13.50,-42.95,-23.05,167
26,20190304_220600,14.80,-43.179,-22.857,333
3,20190304_220800,4.60,-43.137,-22.836,13
6,20190304_221000,8.90,-43.145,-22.842,160
3,20190304_223500,4.70,-43.143,-22.843,21
3,20190304_223700,2.10,-43.073,-23.045,250
