MMSI;Time;SOG;Longitude;Latitude;COG
439;19900101_052919;0.1;-43.12278333;-22.8706;9.1
518;19900101_052919;0;-43.16933333;-22.91848333;281.1
311;19900101_054820;9.3;-43.15383333;-22.8143;319.4
206;19900101_054820;6.6;-43.15225;-22.83158333;181.1
210;19900101_055621;0;-43.12156667;-22.87786667;198
306;19900101_055628;10.5;-43.14135;-22.89406667;255.8
209;19900101_055714;0.1;-43.13008333;-22.82996667;360
515;19900101_055715;6.4;-43.152;-22.83233333;180.2
310;19900101_055733;0;-43.1253;-22.89398333;134.7
107;19900101_055748;0;-43.17091667;-22.90306667;271.8
403;19900101_055754;0.1;-43.17526667;-22.8557;352.3
415;19900101_055833;0;-43.11171667;-22.86993333;268.5
445;19900101_055841;0;-43.13051667;-22.85293333;273
412;19900101_055848;0;-43.14643333;-22.84193333;319.1
414;19900101_055848;0.1;-43.11741667;-22.8632;0
413;19900101_055954;4.3;-43.1503;-22.85375;22.8
433;19900101_060108;0.1;-43.13675;-22.85178333;88.8
444;19900101_065919;0.1;-43.14175;-22.84596667;44
404;19900101_070012;0.1;-43.13133333;-22.87726667;174.1
504;19900101_070017;0;-43.12921667;-22.83493333;337.4
448;19900101_070031;0;-43.13711667;-22.84743333;93.1
207;19900101_070035;0;-43.13141667;-22.8645;300.1
505;19900101_070039;0;-43.11695;-22.8208;86.7
440;19900101_070047;0.2;-43.14648333;-22.83778333;308.2
510;19900101_070048;0.1;-43.13215;-22.8243;341
201;19900101_070107;0;-43.122;-22.87771667;254.3
309;19900101_070110;0;-43.17163333;-22.9021;258.3
401;19900101_070111;0;-43.11175;-22.86881667;29
515;19900101_070112;6.4;-43.152;-22.8325;179.5
208;19900101_070118;0.2;-43.16116667;-22.85933333;312.6
103;19900101_070118;12.1;-43.13456667;-22.89466667;75.7
304;19900101_070136;14.9;-43.115;-22.91735;293.2
431;19900101_070148;0.1;-43.12551667;-22.83105;255.7
117;19900101_070212;0.2;-43.16236667;-22.89251667;93.3
307;19900101_070237;4;-43.17048333;-22.90201667;65.2
211;19900101_070248;0;-43.122;-22.87761667;203.8
212;19900101_070300;0;-43.12155;-22.87788333;317.6
305;19900101_070336;11;-43.1251;-22.78733333;50.1
503;19900101_070354;0;-43.09293333;-22.82456667;0
515;19900101_070418;6.5;-43.152;-22.83266667;179.4
428;19900101_070436;0;-43.1207;-22.88116667;204.3
518;19900101_070454;0;-43.16936667;-22.91845;278.4
202;19900101_070525;0.3;-43.16031667;-22.85631667;360
209;19900101_070536;0.1;-43.13006667;-22.82996667;360
439;19900101_070540;0.1;-43.12278333;-22.8706;7.3
206;19900101_070547;6.6;-43.15226667;-22.83188333;182
308;19900101_070559;0;-43.12133333;-22.87835;253.6
311;19900101_070620;9.4;-43.15413333;-22.81396667;319.7
445;19900101_070659;0.1;-43.13051667;-22.85293333;305
436;19900101_070700;5.7;-43.16523333;-22.90056667;251.3
107;19900101_070712;0.1;-43.17093333;-22.90306667;265.9
407;19900101_070839;0.5;-43.14605;-22.84545;131.7
416;19900101_070907;0.1;-43.13106667;-22.84913333;35.3
306;19900101_070920;10.6;-43.14181667;-22.89416667;258.2
210;19900101_070955;0;-43.12158333;-22.87788333;198
403;19900101_071000;0;-43.17526667;-22.8557;341.2
515;19900101_071001;6.5;-43.152;-22.83266667;179.3
412;19900101_071011;0;-43.14641667;-22.84191667;319.1
414;19900101_072147;0.1;-43.11743333;-22.8632;0
415;19900101_072147;0;-43.1117;-22.86993333;268.5
444;19900101_072200;0.1;-43.14175;-22.84596667;44
413;19900101_072200;4.3;-43.1502;-22.85353333;22.8
404;19900101_072312;0.1;-43.1313;-22.87726667;174.1
304;19900101_072312;14.9;-43.11541667;-22.91718333;293
433;19900101_072333;0.1;-43.13675;-22.85178333;88.8
310;19900101_072333;0;-43.1253;-22.89398333;130.8
505;19900101_072353;0;-43.11695;-22.8208;73.2
301;19900101_072353;5.6;-43.10251667;-22.92766667;126.5
510;19900101_072413;0.1;-43.13216667;-22.8243;342
401;19900101_072413;0;-43.11175;-22.86881667;48.8
440;19900101_072533;0.1;-43.1465;-22.83778333;308.2
207;19900101_072533;0;-43.13141667;-22.8645;300.1
515;19900101_072633;6.5;-43.152;-22.83283333;179
201;19900101_072633;0;-43.122;-22.87771667;253
103;19900101_072636;12.1;-43.13405;-22.89456667;76.8
309;19900101_072636;0;-43.17163333;-22.9021;249.9
208;19900101_072648;0.1;-43.16115;-22.85933333;313.3
211;19900101_072648;0;-43.122;-22.87763333;203.8
450;19900101_072718;0;-43.14526667;-22.84933333;23
431;19900101_072724;0.1;-43.12551667;-22.83103333;255.7
117;19900101_072733;0.7;-43.16235;-22.89251667;93.2
212;19900101_073012;0;-43.12153333;-22.87786667;317.6
307;19900101_073112;3.7;-43.1703;-22.90195;65
202;19900101_073133;0.2;-43.16033333;-22.85631667;360
515;19900101_073242;6.5;-43.152;-22.833;178.5
436;19900101_073430;5.7;-43.16545;-22.90063333;251.9
407;19900101_073437;0.5;-43.14603333;-22.84546667;130.5
308;19900101_073514;0;-43.12131667;-22.87835;258.9
518;19900101_073530;0;-43.16936667;-22.91845;289.6
209;19900101_073712;0.1;-43.13008333;-22.82996667;360
112;19900101_080511;0.1;-43.14783333;-22.88086667;256.6
428;19900101_082833;0;-43.12068333;-22.88116667;204.3
447;19900101_082854;9.5;-43.00356667;-23.0422;91.6
210;19900101_082901;0;-43.12158333;-22.87788333;198
416;19900101_082906;0.1;-43.13106667;-22.84913333;29.5
107;19900101_082914;0;-43.17093333;-22.90306667;257.6
445;19900101_082918;0.1;-43.13051667;-22.85293333;308
439;19900101_082924;0.1;-43.12278333;-22.8706;10.1
311;19900101_082930;9.4;-43.15448333;-22.8136;316.8
413;19900101_082933;4.3;-43.15015;-22.8534;23.7
444;19900101_082936;0.1;-43.14175;-22.84596667;44
415;19900101_082945;0;-43.1117;-22.86993333;268.5
